5089,5333,Dnevni red v celoti,14. redna seja,,,,,,,,,,,,,,,,
4771,5015,Sklep o razrešitvi in imenovanju predsednika Odbora za pravosodje - Glasovanje,19. redna seja,,,,,,,,,,,,,,,,
4773,5017,Sklep o razrešitvi podpredsednice in imenovanju podpredsednika Odbora za zdravstvo - Glasovanje,19. redna seja,,,,,,,,,,,,,,,,
4741,4985,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Mateja Tonina v zvezi s pripravo reform do konca mandata Vlade).,20. redna seja,,,,,,,,,,,,,,,,
4740,4984,|Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Franca Laja v zvezi z delovanjem gospodarske družbe Slovenski državni gozdovi,d. o. o.)|,20. redna seja,,,,,,,,,,,,,,,
4780,5024,Zakon o ratifikaciji Sporazuma med Vlado Republike Slovenije in Vlado Gruzije o mednarodnem cestnem prevozu potnikov in blaga - Glasovanje o zakonu v celoti,19. redna seja,,,,,,,,,,,,,,,,
4792,5036,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Violete Tomić v zvezi s tajnimi trgovinsko-investicijskimi sporazumi TTIP in CETA.),19. redna seja,,,,,,,,,,,,,,,,
4793,5037,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Franca Breznika v zvezi z davčnimi blagajnami.),19. redna seja,,,,,,,,,,,,,,,,
4794,5038,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Maje Makovec Brenčič na poslansko vprašanje Anje Bah Žibert v zvezi z roki za dokončanje predbolonjskih študijskih programov.)|,19. redna seja,,,,,,,,,,,,,,,
4796,5040,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Zvonka Laha v zvezi z ravnanjem z odpadki v Sloveniji.),19. redna seja,,,,,,,,,,,,,,,,
4797,5041,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Marijana Pojbiča v zvezi s spremembo sklepa glede višine nepovratnih sredstev za problemsko območje Maribora.),19. redna seja,,,,,,,,,,,,,,,,
4798,5042,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak ter ministrice za okolje in prostor Irene Majcen na poslansko vprašanje dr. Franca Trčka v zvezi s problematiko deložacij v Sloveniji.)|,19. redna seja,,,,,,,,,,,,,,
4799,5043,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Andreja Širclja v zvezi s kadrovanjem v nadzorni svet in upravo NLB d.d.),19. redna seja,,,,,,,,,,,,,,,,
4800,5044,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje mag. Branka Grimsa v zvezi z ukrepanjem zoper zamaskirane zagovornike migrantov.),19. redna seja,,,,,,,,,,,,,,,,
4801,5045,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje dr. Vinka Gorenaka v zvezi z ilegalnimi migranti po zaprtju državne meje med Makedonijo in Grčijo.),19. redna seja,,,,,,,,,,,,,,,,
4802,5046,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Franca Breznika v zvezi z izborom Špele Kučan za ekonomsko svetovalko v Ženevi.),19. redna seja,,,,,,,,,,,,,,,,
4803,5047,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Alenke Bratušek v zvezi s pravno državo. ),19. redna seja,,,,,,,,,,,,,,,,
4804,5048,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Ive Dimic v zvezi z zgrešeno kmetijsko politiko Vlade RS. ),19. redna seja,,,,,,,,,,,,,,,,
4805,5049,|Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Mateja T. Vatovca v zvezi s stališči vlade do tajnih trgovinsko-investicijskih sporazumov (TTIP,CETA).)|,19. redna seja,,,,,,,,,,,,,,,
4829,5073,Odlok o spremembi Odloka o ustanovitvi Sveta za radiodifuzijo - Glasovanje,18. redna seja,,,,,,,,,,,,,,,,
4816,5060,Dnevni red v celoti,19. redna seja,,,,,,,,,,,,,,,,
4817,5061,Širitev dnevnega reda (26.A točka),19. redna seja,,,,,,,,,,,,,,,,
4826,5070,|Sklep o razrešitvi podpredsednice in imenovanju podpredsednice Odbora za notranje zadeve,javno upravo in lokalno samoupravo - Glasovanje|,18. redna seja,,,,,,,,,,,,,,,
4830,5074,Sklep o imenovanju osmih članov Programskega sveta RTV Slovenija - na podlagi sedme alineje šestega odstavka 17. člena Zakona o RTV Slovenija - Glasovanje,18. redna seja,,,,,,,,,,,,,,,,
4951,5195,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Zvonka Laha v zvezi s subvencioniranjem novih delovnih mest.)|,16. redna seja,,,,,,,,,,,,,,
4832,5076,Predlog za imenovanje predsednice in članov Nacionalnega sveta za kulturo - Glasovanje,18. redna seja,,,,,,,,,,,,,,,,
4815,5059,Predlog za izvolitev podpredsednika Državneg zbora - Glasovanje o sestavi komisije za tajno glasovanje,19. redna seja,,,,,,,,,,,,,,,,
5665,5909,|Zakon o ratifikaciji Sporazuma med Vlado Republike Slovenije in Vlado Združenih držav Amerike o plačilu dolga nekdanje Socialistične federativne republike Jugoslavije do Vlade Združenih držav vključno z njenimi agencijami,ki ga izvrši Republika Slovenija in Memoranduma o soglasju med Vlado Republike Slovenije in Vlado Združenih držav Amerike o plačilu dolga nekdanje Socialistične federativne republike Jugoslavije do Vlade Združenih držav vključno z njenimi agencijami,ki ga izvrši Republika Slovenija - Glasovanje o zakonu v celoti|,10. redna seja,,,,,,,,,,,,,,
4869,5113,Dnevni red v celoti,18. redna seja,,,,,,,,,,,,,,,,
4870,5114,Širitev dnevnega reda,18. redna seja,,,,,,,,,,,,,,,,
6306,6550,Dnevni red v celoti,22. izredna seja,,,,,,,,,,,,,,,,
4850,5094,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Zvonka Laha v zvezi s spremembo prostorske zakonodaje.),18. redna seja,,,,,,,,,,,,,,,,
4851,5095,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Jerneja Vrtovca v zvezi z ukrepi za zagotovitev učinkovitejše ureditve imenovanja v nadzorne svete bank.,18. redna seja,,,,,,,,,,,,,,,,
4861,5105,Odlok o okviru za pripravo proračunov sektorja država za obdobje od 2017 do 2019 - Glasovanje,18. redna seja,,,,,,,,,,,,,,,,
4853,5097,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Ive Dimic v zvezi z davčno politiko v kmetijstvu.)|,18. redna seja,,,,,,,,,,,,,,,
4854,5098,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Maje Makovec Brenčič na poslansko vprašanje Tomaža Lisca v zvezi s financiranjem visokega šolstva.)|,18. redna seja,,,,,,,,,,,,,,,
4855,5099,Predlog sklepa (razprava o odgovoru ministrice za kulturo mag. Julijane Bizjak Mlakar na poslansko vprašanje Violete Tomić v zvezi z vzdrževanjem idrijskega rudnika živega srebra.),18. redna seja,,,,,,,,,,,,,,,,
4856,5100,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jožefa Horvata v zvezi s postopki vračanja slovenskega denarja iz davčnih oaz. ),18. redna seja,,,,,,,,,,,,,,,,
4857,5101,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Franca Trčka v zvezi z ukrepi Vlade na področju blaženja revščine.),18. redna seja,,,,,,,,,,,,,,,,
4858,5102,Predlog sklepa (razprava o odgovoru na poslansko vprašanje) (Jožeta Tanka v zvezi s fiskalnim svetom),18. redna seja,,,,,,,,,,,,,,,,
4881,5125,Predlog sklepa (razprava o odgovoru ministrice za obrambo Andreje Katič na poslansko vprašanje Žana Mahniča v zvezi s sestrelitvijo helikopterja nad Rožno dolino.),17. redna seja,,,,,,,,,,,,,,,,
4852,5096,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Luke Mesca v zvezi s Termoelektrarno Trbovlje. ),18. redna seja,,,,,,,,,,,,,,,,
4849,5093,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Franca Breznika v zvezi s sanacijo opuščene gramoznice pri Lovrencu na Dravskem polju.),18. redna seja,,,,,,,,,,,,,,,,
4888,5132,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Violete Tomić v zvezi s stigmatizacijo in inkriminacijo uporabnikov konoplje.,17. redna seja,,,,,,,,,,,,,,,,
4889,5133,Predlog sklepa (razprava o odgovoru ministra za finance Dr. Dušana Mramorja na poslansko vprašanje mag. Andreja Širclja v zvezi z vplivom strukturnega primanjkljaja na javne finance.),17. redna seja,,,,,,,,,,,,,,,,
4890,5134,Predlog sklepa (razprava o odgovoru ministrice za kulturo mag. Julijane Bizjak Mlakar ter ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Ljudmile Novak v zvezi s statusom Sečoveljskih solin.),17. redna seja,,,,,,,,,,,,,,,,
4891,5135,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Franca Breznika v zvezi z davčnimi blagajnami.),17. redna seja,,,,,,,,,,,,,,,,
4892,5136,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Eve Irgl v zvezi z ustvarjanjem konkurenčnega in spodbudnega poslovnega okolja. ),17. redna seja,,,,,,,,,,,,,,,,
4936,5180,Sklep o imenovanju članice Programskega sveta RTV Slovenija – na podlagi šeste alineje šestega odstavka 17. člena Zakona o Radioteleviziji Slovenija - Glasovanje,16. redna seja,,,,,,,,,,,,,,,,
4893,5137,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Jožefa Horvata v zvezi z ukrepi za znižanje strukturnega primanjkljaja.),17. redna seja,,,,,,,,,,,,,,,,
4894,5138,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Marijana Pojbiča v zvezi s povečevanjem revščine v Sloveniji.)|,17. redna seja,,,,,,,,,,,,,,
4895,5139,Predlog sklepa (razprava o odgovoru ministra za zunanje zadeve Karla Viktorja Erjavca na poslansko vprašanje dr. Franca Trčka v zvezi z vpletanjem v delovanje sindikata ter nekoordinacijo dela diplomatskih predstavništev.),17. redna seja,,,,,,,,,,,,,,,,
4896,5140,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Luke Mesca v zvezi z Alpino in upravljanjem državnega premoženja.),17. redna seja,,,,,,,,,,,,,,,,
4897,5141,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Branka Grimsa v zvezi z novinarsko konferenco predsednika Vlade Republike Slovenije z dne 22. 3. 2016).,17. redna seja,,,,,,,,,,,,,,,,
4898,5142,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Bojana Dobovška v zvezi s komunikacijsko strategijo Vlade).,17. redna seja,,,,,,,,,,,,,,,,
4911,5155,"Resolucija o Nacionalnem planu zdravstvenega varstva 2016-2025 ""Skupaj za družbo zdravja"" - Glasovanje o aktu v celoti",17. redna seja,,,,,,,,,,,,,,,,
4882,5126,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Danijela Krivca v zvezi z zagotavljanjem protipoplavne varnosti.,17. redna seja,,,,,,,,,,,,,,,,
4883,5127,Predlog sklepa (razprava o odgovoru ministrice za kulturo mag. Julijane Bizjak Mlakar na poslansko vprašanje Violete Tomić  v zvezi s finančnim položajem Društva slovenskih književnih prevajalcev.),17. redna seja,,,,,,,,,,,,,,,,
4884,5128,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Ljuba Žnidarja v zvezi s protihrupnimi ograjami.),17. redna seja,,,,,,,,,,,,,,,,
4885,5129,Predlog sklepa (razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje mag. Marka Pogačnika v zvezi s spremembami Zakona o zdravilstvu.),17. redna seja,,,,,,,,,,,,,,,,
4886,5130,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Zvonka Laha v zvezi z odkupom mleka v Sloveniji.)|,17. redna seja,,,,,,,,,,,,,,,
5649,5893,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 3.7.2015 [NSi - Poslanska skupina Nove Slovenije - krščanskih demokratov],10. redna seja,,,,,,,,,,,,,,,,
4947,5191,|Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Žana Mahniča v zvezi z načrtnim izčrpavanjem in uničevanjem podjetij,ki jih upravlja Družba za upravljanje terjatev bank – primer podjetja Alpina Žiri.)|,16. redna seja,,,,,,,,,,,,,,,
4948,5192,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Ljuba Žnidarja v zvezi s Strategijo razvoja prometa v Republiki Sloveniji.),16. redna seja,,,,,,,,,,,,,,,,
4918,5162,Dnevni red v celoti,17. redna seja,,,,,,,,,,,,,,,,
4925,5169,Predlog sklepa (prenos točke na eno od naslednjih  sej),16. redna seja,,,,,,,,,,,,,,,,
6307,6551,Dnevni red v celoti,21. izredna seja,,,,,,,,,,,,,,,,
4928,5172,Razveljavitev Proceduralnega predloga na podlagi petega odstavka 67. člena Poslovnika Državnega zbora (vsak govornik razpravlja le enkrat) - nesprejet,16. redna seja,,,,,,,,,,,,,,,,
4943,5187,Zakon o spremembah in dopolnitvah Zakona o Banki Slovenije - Evidenčni sklep o primernosti predloga zakona 4.3.2016,16. redna seja,,,,,,,,,,,,,,,,
4949,5193,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje mag. Anžeta Logarja v zvezi z lokacijami za migrantske namestitvene centre.),16. redna seja,,,,,,,,,,,,,,,,
4952,5196,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje mag. Branka Grimsa v zvezi z vlogami za azil zavrnjenih migrantov.),16. redna seja,,,,,,,,,,,,,,,,
4953,5197,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Marka Pogačnika v zvezi s povišanjem trošarin na naftne derivate.),16. redna seja,,,,,,,,,,,,,,,,
4954,5198,Predlog sklepa (razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Mihe Kordiša v zvezi z izboljšanjem pogojev za delo zaposlenih v zdravstvu.),16. redna seja,,,,,,,,,,,,,,,,
4955,5199,|Predlog sklepa (razprava o odgovoru ministrice za zdravje Mariji Milojki Kolar Celarc na poslansko vprašanje dr. Mateja T. Vatovca v zvezi z brezplačnimi ambulantami za pomoč ljudem,ki ne morejo koristiti storitev javnih zdravstvenih ustanov.)|,16. redna seja,,,,,,,,,,,,,,,
4956,5200,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje Franca Breznika v zvezi z obveščanjem lokalnih skupnosti o migrantskih centrih.),16. redna seja,,,,,,,,,,,,,,,,
4957,5201,|Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje Jožefa Horvata v zvezi z namestitvenimi centri po Sloveniji,s posebnim poudarkom na namestitvenem centru v občini Lendava.)|,16. redna seja,,,,,,,,,,,,,,,
4958,5202,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Maje Makovec Brenčič na poslansko vprašanje Violete Tomić v zvezi z namestitvijo šestih mladoletnih prosilcev za azil brez spremstva odraslih.)|,16. redna seja,,,,,,,,,,,,,,,
4959,5203,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Andreja Širclja v zvezi s postopkom poenostavljene pripojitve Probanke in Factor banke k Družbe za upravljanje terjatev bank.),16. redna seja,,,,,,,,,,,,,,,,
4960,5204,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje dr. Vinka Gorenaka v zvezi s stroški za prosilce za mednarodno zaščito.),16. redna seja,,,,,,,,,,,,,,,,
4962,5206,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Alenke Bratušek v zvezi z upravljanjem državnega premoženja in  kadrovanjem v državnih podjetjih.),16. redna seja,,,,,,,,,,,,,,,,
4963,5207,|Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Mateja Tonina v zvezi z upravljanjem državnega premoženja,kadrovanjem v državnih podjetjih in kaznovanjem odgovornih za bančno luknjo.)|,16. redna seja,,,,,,,,,,,,,,,
4976,5220,Zakon o mednarodni zaščiti - Amandma: K 70. členu 23.2.2016 [ZL - Poslanska skupina Združena levica] (pod točko 2),16. redna seja,,,,,,,,,,,,,,,,
4961,5205,|Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Vinka Gorenaka v zvezi s Centrom za tujce,Azilnim domom in izpostavami ter skupnimi stroški.)|,16. redna seja,,,,,,,,,,,,,,,
4977,5221,Zakon o mednarodni zaščiti - Amandma: K 70. členu 23.2.2016 [ZL - Poslanska skupina Združena levica] (pod točko 1),16. redna seja,,,,,,,,,,,,,,,,
4996,5240,Dnevni red v celoti,16. redna seja,,,,,,,,,,,,,,,,
5012,5256,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Franca Breznika v zvezi s politiko cen najema kmetijskih zemljišč iz Sklada kmetijskih zemljišč in gozdov Republike Slovenije.)|,15. redna seja,,,,,,,,,,,,,,,
4997,5241,Širitev dnevnega reda,16. redna seja,,,,,,,,,,,,,,,,
4991,5235,Predlog za razrešitev članice sveta Javne agencije RS za varstvo konkurence - Glasovanje,16. redna seja,,,,,,,,,,,,,,,,
5013,5257,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Franca Breznika v zvezi z nadzorom nad izvajanjem Pravilnika o ultralahkih letalnih napravah.),15. redna seja,,,,,,,,,,,,,,,,
5014,5258,Predlog sklepa (razprava o odgovoru ministrice za obrambo Andreje Katič na poslansko vprašanje mag. Mateja Tonina v zvezi z izpolnjevanjem zavez NATO.),15. redna seja,,,,,,,,,,,,,,,,
5016,5260,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Violete Tomić v zvezi s  postavitvijo tehničnih ovir na kmetijskih zemljiščih ob meji.)|,15. redna seja,,,,,,,,,,,,,,,
5017,5261,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Bojana Dobovška v zvezi z namenom obiska v Združenih državah Amerike ter oceno uspešnosti le-tega.),15. redna seja,,,,,,,,,,,,,,,,
5018,5262,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Ljudmile Novak v zvezi z reševanjem migrantske krize.),15. redna seja,,,,,,,,,,,,,,,,
5019,5263,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Mihe Kordiša v zvezi s kadrovsko politiko Vlade.),15. redna seja,,,,,,,,,,,,,,,,
5035,5279,Dnevni red v celoti,15. redna seja,,,,,,,,,,,,,,,,
5090,5334,Širitev dnevnega reda,14. redna seja,,,,,,,,,,,,,,,,
5790,6034,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Zvonka Laha v zvezi z zavarovanjem kmetov.|,7. redna seja,,,,,,,,,,,,,,
5054,5298,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Luke Mesca v zvezi s privatizacijo Adrie Airways Tehnika.),14. redna seja,,,,,,,,,,,,,,,,
5055,5299,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Žana Mahniča v zvezi z zavezami danimi zvezi NATO glede obrambnega proračuna.),14. redna seja,,,,,,,,,,,,,,,,
5820,6064,|Predlog sklepa za razpravo o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi z ustavno zakonskimi določili in razmerji med Vrhovnim sodiščem RS in Sodnim svetom,ter med Vrhovnim državnim tožilstvom in Državnotožilskim svetom ter Vlado RS oziroma Ministrstvom za pravosodje.|,6. redna seja,,,,,,,,,,,,,,,
5039,5283,Zakon o spremembah in dopolnitvah Zakona o mednarodni zaščiti - Evidenčni sklep o primernosti predloga zakona 18.12.2015,14. redna seja,,,,,,,,,,,,,,,,
5046,5290,|Zakon o spremembah in dopolnitvah Zakona o finančnem poslovanju,postopkih zaradi insolventnosti in prisilnem prenehanju - Evidenčni sklep o primernosti predloga zakona 18.12.2015|,14. redna seja,,,,,,,,,,,,,,,
5023,5267,Uradno prečiščeno besedilo (Kazenskega zakonika),15. redna seja,,,,,,,,,,,,,,,,
5024,5268,Uradno prečiščeno besedilo (Zakona o prevozu v cestnem prometu),15. redna seja,,,,,,,,,,,,,,,,
5069,5313,|Akt o dopolnitvi Akta o notifikaciji nasledstva glede konvencij UNESCO,mednarodnih večstranskih pogodb o zračnem prometu,konvencij mednarodne organizacije dela,konvencij mednarodne pomorske organizacije,carinskih konvencij in nekaterih drugih mednarodnih večstranskih pogodb - Glasovanje o zakonu v celoti|,14. redna seja,,,,,,,,,,,,
5056,5300,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja ter ministra za javno upravo Borisa Koprivnikarja na poslansko vprašanje Bojana Podkrajška v zvezi s stroški delovanja javnega sektorja.),14. redna seja,,,,,,,,,,,,,,,,
5057,5301,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Anje Bah Žibert v zvezi s spoštovanjem zakonsko določenih rokov.),14. redna seja,,,,,,,,,,,,,,,,
5058,5302,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Zvonka Laha v zvezi z upravljanjem slabih terjatev v državnih bankah.),14. redna seja,,,,,,,,,,,,,,,,
5059,5303,Predlog sklepa (razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje mag. Alenke Bratušek v zvezi s stanjem v zdravstvu.),14. redna seja,,,,,,,,,,,,,,,,
5060,5304,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enakem možnosti dr. Anje Kopač Mrak na poslansko vprašanje Ive Dimic v zvezi z izvajanjem Zakona o zakonski zvezi in družinskih razmerjih.)|,14. redna seja,,,,,,,,,,,,,,
5061,5305,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Ljuba Žnidarja v zvezi z bencinskim centom.),14. redna seja,,,,,,,,,,,,,,,,
5062,5306,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jožefa Horvata v zvezi z vzpostavitvijo »mini« schengenskega območja znotraj Evropske unije.),14. redna seja,,,,,,,,,,,,,,,,
5063,5307,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Luke Mesca v zvezi s stavko policistov.),14. redna seja,,,,,,,,,,,,,,,,
5064,5308,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Branka Grimsa v zvezi z gradnjo ograje na naši severni meji.),14. redna seja,,,,,,,,,,,,,,,,
6309,6553,Dnevni red v celoti,20. izredna seja,,,,,,,,,,,,,,,,
5087,5331,Zakon o spremembi Zakona o dohodnini - Sklep (134. člen Poslovnika),14. redna seja,,,,,,,,,,,,,,,,
5068,5312,Uradno prečiščeno besedilo (Zakona o železniškem prometu),14. redna seja,,,,,,,,,,,,,,,,
5092,5336,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Jožefa Horvata v zvezi s pristojnostmi upniškega odbora v insolvenčnih postopkih.),13. redna seja,,,,,,,,,,,,,,,,
5093,5337,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Franca Breznika v zvezi s ceno najema kmetijskih zemljišč.)|,13. redna seja,,,,,,,,,,,,,,,
5094,5338,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enakem možnosti dr. Anje Kopač Mrak na poslansko vprašanje Marijana Pojbiča v zvezi z brezposelnostjo.)|,13. redna seja,,,,,,,,,,,,,,
5095,5339,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Anje Bah Žibert glede celotnih stroškov vezanih na migracijsko problematiko.),13. redna seja,,,,,,,,,,,,,,,,
5096,5340,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje dr. Mateja T. Vatovca v zvezi z vplivi Škedenjske železarne v Trstu.),13. redna seja,,,,,,,,,,,,,,,,
5097,5341,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja ter ministra za javno upravo Borisa Koprivnikarja na poslansko vprašanje Tomaža Lisca  v zvezi z višino povprečnine za občine za leto 2016.),13. redna seja,,,,,,,,,,,,,,,,
5098,5342,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Zvonka Laha v zvezi s 3. razvojno osjo.),13. redna seja,,,,,,,,,,,,,,,,
5099,5343,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen ter ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Jožefa Horvata v zvezi z visokimi koncesninami za geotermalno vodo.),13. redna seja,,,,,,,,,,,,,,,,
5100,5344,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje dr. Vinka Gorenaka v zvezi z ukrepi Ministrstva za notranje zadeve za zavarovanje državne meje z Republiko Hrvaško.),13. redna seja,,,,,,,,,,,,,,,,
5101,5345,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Violete Tomić v zvezi z določitvijo števila volkov za odstrel v obdobju od 1. oktobra 2015 do 30. septembra 2016.),13. redna seja,,,,,,,,,,,,,,,,
