4561,4805,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Franca Trčka v zvezi s predlagano spremembo dohodninske lestvice in problemom revščine),22. redna seja,,,,,,,,,,,,,,,,
4562,4806,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Tomaža Lisca v zvezi s problematiko lubadarja),22. redna seja,,,,,,,,,,,,,,,,
4548,4792,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Maje Makovec Brenčič na poslansko vprašanje Mihe Kordiša v zvezi s financiranjem visokega šolstva v novem predlogu Zakona o visokem šolstvu)|,22. redna seja,,,,,,,,,,,,,,,
6294,6538,Dnevni red v celoti,24. izredna seja,,,,,,,,,,,,,,,,
4546,4790,Sklep o pravici prevzema mandata poslanke Državnega zbora in Sklep o pravici nadomeščanja poslanca Državnega zbora - Glasovanje o sklepu - Teja Ljubič,22. redna seja,,,,,,,,,,,,,,,,
4565,4809,Uradno prečiščeno besedilo (Zakona o delovnem času in obveznih počitkih mobilnih delavcev ter o zapisovalni opremi v cestnih prevozih),22. redna seja,,,,,,,,,,,,,,,,
4566,4810,Uradno prečiščeno besedilo (Pomorskega zakonika),22. redna seja,,,,,,,,,,,,,,,,
4568,4812,Odlok o spremembah in dopolnitvah Odloka o ustanovitvi in nalogah delovnih teles Državnega zbora - Glasovanje o aktu v celoti,22. redna seja,,,,,,,,,,,,,,,,
4600,4844,Dnevni red v celoti,22. redna seja,,,,,,,,,,,,,,,,
4643,4887,|Zakon o ratifikaciji Pomožnega sporazuma med Evropsko unijo in njenimi državami članicami na eni strani,Islandijo na drugi strani ter Kraljevino Norveško na tretji strani o uporabi Sporazuma o zračnem prometu med Združenimi državami Amerike na eni strani,Evropsko unijo in njenimi državami članicami na drugi strani,Islandijo na tretji strani in Kraljevino Norveško na četrti strani - Glasovanje o zakonu v celoti|,21. redna seja,,,,,,,,,,,,,
4645,4889,Priporočilo v zvezi z zagotavljanjem učinkovitejšega dela obveščevalno-varnostnega sistema RS - Glasovanje o aktu v celoti,21. redna seja,,,,,,,,,,,,,,,,
