5150,5394,"Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 2. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 1)","13. redna seja",x,x,x
5149,5393,"Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 2. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 2)","13. redna seja",x,x,x
5142,5386,"Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 5. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 2)","13. redna seja",x,x,x
5141,5385,"Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 5. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 3)","13. redna seja",x,x,x
5148,5392,"Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 3. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 1)","13. redna seja",x,x,x
5168,5412,"Sklep o razrešitvi članice Nadzornega odbora Sklada za financiranje razgradnje Nuklearne elektrarne Krško in odlaganja radioaktivnih odpadkov iz Nuklearne elektrarne Krško - Glasovanje","13. redna seja",x,x,x
5170,5414,"Predlog za izvolitev treh kandidatov za sodnico ali sodnika na Evropskem sodišču za človekove pravice v Strasbourgu - Glasovanje o sestavi komisije za tajno glasovanje","13. redna seja",x,x,x
5171,5415,"|Zakon o ratifikaciji Sporazuma med Evropsko unijo in njenimi državami članicami na eni strani ter Islandijo na drugi strani glede sodelovanja Islandije pri skupnem izpolnjevanju obveznosti Evropske unije","njenih držav članic in Islandije za drugo ciljno obdobje Kjotskega protokola k Okvirni konvenciji Združenih narodov o spremembi podnebja - Glasovanje o zakonu v celoti|",x,x,x
5217,5461,"Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 6)","13. redna seja",x,x,x
5215,5459,"Proračun Republike Slovenije za leto 2017 - Amandma: 2550 Ministrstvo za okolje in prostor (150201) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 1)","13. redna seja",x,x,x
5213,5457,"Proračun Republike Slovenije za leto 2017 - Amandma: 2550 Ministrstvo za okolje in prostor (150201) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 2)","13. redna seja",x,x,x
